key_id,year,funded,amount,lead_unit_code,project_title,originating_sponsor,originating_sponsor_type,direct_sponsor,direct_sponsor_type,sponsor_selection_rule
K000152157,2022,FALSE,448138.32,1170,Gatekeepers of Arctic Carbon Loss: Landscape-Scale Metabolites-to-Ecosystems Profiling to Mechanistically Map Climate Feedbacks,DOE-US Department of Energy,Federal,University of Arizona,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152089,2022,TRUE,499294.9,1170,Predicting Post-Fire N Cycling through Traits and Cross-Kingdom Interactions,DOE-US Department of Energy,Federal,"University of California, Riverside",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152156,2022,TRUE,315600.93,1170,Gatekeepers of Arctic Carbon Loss: Landscape-Scale Metabolites-to-Ecosystems Profiling to Mechanistically Map Climate Feedbacks,DOE-US Department of Energy,Federal,University of New Hampshire,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154370,2022,TRUE,106422.49,1171,"Modeling for Genomic, Blood, and Microbiological Markers for Liver Abscesses in Fed Beef Cattle",Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),Texas Tech University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154360,2022,TRUE,9805.75,1171,Assessment of Antimicrobial Stewardship Education and Training among Early Career Veterinarians,HHS-CDC-Centers for Disease Control,Federal,University of Colorado at Denver,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152810,2022,FALSE,12496.09,1173,Improving Vegetable Transplant Quality and Production Efficiency with Combined Lighting and Temperature Control Approaches,Horticultural Research Institute,Domestic Non-Profit (other than Domestic Foundations),Texas A and M University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153059,2022,FALSE,741111.45,1170,NASA FARMS: Advancing the Operational Use of Satellite Data for Farm and Ranch Management Support (FARMS) in the United States through a User Driven and Consortium-Based Approach,NASA-National Aeronautics and Space Administration,Federal,California State University Monterey Bay,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152616,2022,FALSE,267607.66,1171,AI Institute: Artificial Intelligence Innovations for Sustainable Agricultural Production.,NSF-National Science Foundation,Federal,New Mexico State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152813,2022,FALSE,58991.14,1171,Mitigating Enteric Greenhouse Gas Emissions with Dietary Seaweed from the South Pacific in Cattle,NSF-National Science Foundation,Federal,Texas Tech University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151822,2022,TRUE,136429.41,1171,Investigating Mineral and Vitamin Requirements for Bison,National Buffalo Foundation,Domestic Foundations,South Dakota State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000154446,2022,TRUE,57000,1172,Community Security Forecast in Long-Term Beef Production,National Cattlemens Beef Association,Domestic Non-Profit (other than Domestic Foundations),University of Idaho,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
