key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000162827,2025,1177,Agricultural Biology,FALSE,"Argueso,Cristiana (Primary PI) 1177","Argueso,Cristiana",Primary PI,1177,Argueso,Cristiana,argueso|c,TRUE,,,,FALSE
K000162821,2025,1177,Agricultural Biology,FALSE,"Zink,Frida Anna (Primary PI) 1177","Zink,Frida Anna",Primary PI,1177,Zink,Frida Anna,zink|f,TRUE,,,,FALSE
K000162789,2025,1171,Animal Sciences,FALSE,"Stackhouse-Lawson,Kimberly Rose (Primary PI) 1171","Stackhouse-Lawson,Kimberly Rose",Primary PI,1171,Stackhouse-Lawson,Kimberly Rose,stackhouse lawson|k,TRUE,,,,FALSE
K000162789,2025,1171,Animal Sciences,FALSE,"Thoma,Gregory (Co-PI) 3001","Thoma,Gregory",Co-PI,3001,Thoma,Gregory,thoma|g,TRUE,,,,FALSE
K000162744,2025,1173,Horticulture + Landscape Architecture,FALSE,"Prenni,Jessica E (Primary PI) 1173","Prenni,Jessica E",Primary PI,1173,Prenni,Jessica E,prenni|j,TRUE,,,,FALSE
K000162744,2025,1173,Horticulture + Landscape Architecture,FALSE,"Chaparro,Jacqueline Michelle (Key Person) 1173","Chaparro,Jacqueline Michelle",Key Person,1173,Chaparro,Jacqueline Michelle,chaparro|j,TRUE,,,,FALSE
K000162744,2025,1173,Horticulture + Landscape Architecture,FALSE,"Craver,Joshua Ken (Key Person) 1173","Craver,Joshua Ken",Key Person,1173,Craver,Joshua Ken,craver|j,TRUE,,,,FALSE
K000162714,2025,1171,Animal Sciences,FALSE,"Bigler,Elizabeth Jaed (Primary PI) 1171","Bigler,Elizabeth Jaed",Primary PI,1171,Bigler,Elizabeth Jaed,bigler|e,TRUE,,,,FALSE
K000162714,2025,1171,Animal Sciences,FALSE,"Edwards-Callaway,Lily Nowell (Key Person) 1171","Edwards-Callaway,Lily Nowell",Key Person,1171,Edwards-Callaway,Lily Nowell,edwards callaway|l,TRUE,,,,FALSE
K000162714,2025,1171,Animal Sciences,FALSE,"Ahola,Jason Kee (Key Person) 1171","Ahola,Jason Kee",Key Person,1171,Ahola,Jason Kee,ahola|j,TRUE,,,,FALSE
